time	acanthaceae	achariaceae	actinidiaceae	adoxaceae	alismataceae	alstroemeriaceae	altingiaceae	amaranthaceae	amaryllidaceae	anacardiaceae	annonaceae	apiaceae	apocynaceae	aponogetonaceae	aquifoliaceae	araceae	araliaceae	arecaceae	aristolochiaceae	asparagaceae	asphodelaceae	asteliaceae	asteraceae	atherospermataceae	berberidaceae	betulaceae	bignoniaceae	bixaceae	boraginaceae	brassicaceae	burseraceae	butomaceae	buxaceae	cabombaceae	calophyllaceae	calycanthaceae	campanulaceae	canellaceae	cannabaceae	cannaceae	capparaceae	caprifoliaceae	caryophyllaceae	casuarinaceae	celastraceae	ceratophyllaceae	cercidiphyllaceae	chrysobalanaceae	cleomaceae	clethraceae	clusiaceae	combretaceae	commelinaceae	connaraceae	convolvulaceae	coriariaceae	cornaceae	cucurbitaceae	cunoniaceae	cyclanthaceae	cyperaceae	cyrillaceae	diapensiaceae	dichapetalaceae	dilleniaceae	dioscoreaceae	dipterocarpaceae	droseraceae	ebenaceae	elaeagnaceae	elaeocarpaceae	elatinaceae	ericaceae	erythroxylaceae	eucommiaceae	euphorbiaceae	eupteleaceae	fabaceae	fagaceae	garryaceae	gentianaceae	grossulariaceae	haloragaceae	hamamelidaceae	heliconiaceae	hernandiaceae	humiriaceae	hydrangeaceae	hydrocharitaceae	hypericaceae	icacinaceae	iteaceae	juglandaceae	juncaceae	lamiaceae	lardizabalaceae	lauraceae	lecythidaceae	linaceae	loganiaceae	loranthaceae	lythraceae	magnoliaceae	malpighiaceae	malvaceae	marantaceae	melastomataceae	meliaceae	menispermaceae	menyanthaceae	monimiaceae	moraceae	musaceae	myricaceae	myristicaceae	myrtaceae	nelumbonaceae	nothofagaceae	nyctaginaceae	nymphaeaceae	ochnaceae	olacaceae	oleaceae	onagraceae	orchidaceae	oxalidaceae	pandanaceae	papaveraceae	passifloraceae	paulowniaceae	pedaliaceae	pentaphylacaceae	phyllanthaceae	phytolaccaceae	picrodendraceae	piperaceae	pittosporaceae	plantaginaceae	platanaceae	poaceae	Polemoniaceae	polygalaceae	polygonaceae	pontederiaceae	posidoniaceae	potamogetonaceae	primulaceae	proteaceae	putranjivaceae	ranunculaceae	Restionaceae	rhamnaceae	rhizophoraceae	ripogonaceae	rosaceae	rubiaceae	ruppiaceae	rutaceae	sabiaceae	salicaceae	santalaceae	sapindaceae	sapotaceae	saururaceae	saxifragaceae	scheuchzeriaceae	schisandraceae	schoepfiaceae	scrophulariaceae	simaroubaceae	smilacaceae	solanaceae	stachyuraceae	staphyleaceae	stemonaceae	strasburgeriaceae	strelitziaceae	styracaceae	symplocaceae	tapisciaceae	theaceae	thymelaeaceae	ticodendraceae	torricelliaceae	trigoniaceae	Triuridaceae	trochodendraceae	typhaceae	ulmaceae	urticaceae	verbenaceae	violaceae	vitaceae	vochysiaceae	winteraceae	xyridaceae	zingiberaceae	zygophyllaceae
11	0	0	0	1	1	0	2	0	0	2	0	1	0	0	0	7	3	1	0	0	0	0	1	0	0	10	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	1	0	1	0	0	1	0	0	0	7	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	4	12	0	0	1	2	1	0	0	1	0	4	3	0	0	3	0	4	0	11	0	0	0	0	4	0	1	1	1	0	0	0	1	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	1	1	0	3	1	0	0	1	0	1	0	0	7	1	0	0	1	10	1	10	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	4	1	0	0	2	0	0	0	1	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
13	0	0	1	4	5	0	1	0	0	4	0	2	1	0	8	5	7	3	0	1	0	0	1	0	2	26	0	0	0	0	0	1	1	2	0	1	0	0	4	0	0	1	1	0	2	3	2	0	1	1	0	0	1	0	0	0	11	1	0	0	37	1	0	0	0	0	0	1	2	0	0	0	15	0	1	3	0	11	24	0	0	0	1	6	0	0	0	0	3	5	0	1	17	0	11	2	20	0	0	0	0	7	7	0	2	0	1	1	1	2	0	4	0	10	0	0	0	0	0	3	0	0	4	2	0	0	0	0	0	1	0	3	1	0	0	0	0	1	2	1	0	0	3	1	0	6	2	0	0	5	0	10	0	0	39	2	0	1	3	26	1	23	0	1	0	0	1	0	1	2	2	1	0	2	0	0	0	3	13	0	2	0	0	0	0	0	0	10	8	3	0	2	10	0	0	2	3	0
14	0	2	3	4	4	0	3	0	0	13	11	2	3	0	4	9	8	3	0	0	0	0	2	0	1	46	1	1	0	0	4	1	3	2	3	0	0	0	6	0	1	2	0	0	2	4	2	2	1	0	1	5	0	0	0	0	20	1	1	0	39	0	0	0	1	0	15	1	9	0	0	0	11	0	2	5	0	48	40	0	0	1	4	8	0	0	0	2	2	4	1	1	47	0	8	1	22	1	0	0	1	16	12	1	13	2	1	7	1	2	0	15	0	11	0	2	0	0	0	7	1	0	7	2	0	0	0	0	0	0	0	2	5	0	0	0	0	4	5	2	0	2	3	1	0	12	4	2	0	8	0	15	0	0	44	6	4	8	2	25	2	38	3	1	0	0	2	0	1	5	2	1	1	3	0	0	0	6	11	0	2	0	0	0	0	0	0	14	12	3	0	1	15	1	0	1	2	0
15	1	0	2	3	2	0	3	0	0	28	11	1	12	0	5	5	4	5	0	1	0	0	0	2	8	21	9	1	4	0	5	0	1	1	7	0	1	1	3	1	2	1	0	0	13	2	3	2	0	0	8	10	0	0	0	0	11	0	1	0	16	0	0	0	1	1	13	0	7	1	0	0	6	1	1	10	0	71	34	1	0	1	2	3	1	2	0	2	1	3	1	0	28	0	2	1	40	6	0	2	0	10	6	4	18	0	3	9	1	0	1	15	0	14	1	15	0	1	4	3	1	0	6	1	0	0	0	0	0	0	0	3	2	0	0	2	0	1	5	5	0	0	4	1	0	6	3	5	1	0	0	21	4	0	29	20	0	4	3	32	3	39	17	1	0	0	0	0	1	5	2	0	0	1	0	0	0	9	10	0	1	2	0	0	1	0	0	7	13	4	0	1	14	2	1	0	1	1
16	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
17	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	4	0	0	0	0	3	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	0	2	1	1	3	0	5	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	2	0	0	0	3	0	0	0	1	0
18	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	4	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0
19	0	0	1	0	0	0	2	0	0	0	0	0	0	0	4	1	1	1	0	0	0	0	1	0	4	10	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	2	0	5	13	0	0	3	0	3	0	0	0	2	1	0	0	0	9	0	0	0	11	0	0	0	0	1	3	0	0	0	0	2	3	1	0	2	0	5	1	1	0	0	0	1	0	0	5	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	25	0	0	7	4	16	0	12	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	8	0	2	1	0	0	0	0	0	5	4	0	0	0	9	0	0	0	1	0
20	0	0	2	3	6	0	4	0	0	3	1	0	4	0	5	16	8	11	0	0	0	1	1	1	1	41	1	0	4	0	0	1	1	3	1	0	0	0	7	0	0	1	1	0	2	3	2	3	2	0	1	3	0	1	0	0	17	0	1	0	23	0	0	0	0	0	2	2	1	1	0	1	8	0	1	5	0	23	38	0	0	0	5	8	1	0	0	0	6	4	0	0	38	1	2	0	44	0	0	0	0	14	18	0	2	2	2	3	2	3	0	13	0	21	0	4	0	7	0	3	0	0	4	2	0	0	0	0	1	1	0	4	3	0	0	0	0	0	2	4	0	0	2	1	0	9	3	2	0	3	0	13	1	0	20	3	1	12	7	16	1	23	0	2	0	0	3	0	1	3	2	1	0	5	0	0	0	9	14	0	4	1	0	1	0	0	0	13	11	5	1	0	18	0	0	0	3	0
