time	acanthaceae	achariaceae	actinidiaceae	adoxaceae	alismataceae	alstroemeriaceae	altingiaceae	amaranthaceae	amaryllidaceae	anacardiaceae	annonaceae	apiaceae	apocynaceae	aponogetonaceae	aquifoliaceae	araceae	araliaceae	arecaceae	aristolochiaceae	asparagaceae	asphodelaceae	asteliaceae	asteraceae	atherospermataceae	berberidaceae	betulaceae	bignoniaceae	bixaceae	boraginaceae	brassicaceae	burseraceae	butomaceae	buxaceae	cabombaceae	calophyllaceae	calycanthaceae	campanulaceae	canellaceae	cannabaceae	cannaceae	capparaceae	caprifoliaceae	caryophyllaceae	casuarinaceae	celastraceae	ceratophyllaceae	cercidiphyllaceae	chrysobalanaceae	cleomaceae	clethraceae	clusiaceae	combretaceae	commelinaceae	connaraceae	convolvulaceae	coriariaceae	cornaceae	cucurbitaceae	cunoniaceae	cyclanthaceae	cyperaceae	cyrillaceae	diapensiaceae	dichapetalaceae	dilleniaceae	dioscoreaceae	dipterocarpaceae	droseraceae	ebenaceae	elaeagnaceae	elaeocarpaceae	elatinaceae	ericaceae	erythroxylaceae	eucommiaceae	euphorbiaceae	eupteleaceae	fabaceae	fagaceae	garryaceae	gentianaceae	grossulariaceae	haloragaceae	hamamelidaceae	heliconiaceae	hernandiaceae	humiriaceae	hydrangeaceae	hydrocharitaceae	hypericaceae	icacinaceae	iteaceae	juglandaceae	juncaceae	lamiaceae	lardizabalaceae	lauraceae	lecythidaceae	linaceae	loganiaceae	loranthaceae	lythraceae	magnoliaceae	malpighiaceae	malvaceae	marantaceae	melastomataceae	meliaceae	menispermaceae	menyanthaceae	monimiaceae	moraceae	musaceae	myricaceae	myristicaceae	myrtaceae	nelumbonaceae	nothofagaceae	nyctaginaceae	nymphaeaceae	ochnaceae	olacaceae	oleaceae	onagraceae	orchidaceae	oxalidaceae	pandanaceae	papaveraceae	passifloraceae	paulowniaceae	pedaliaceae	pentaphylacaceae	phyllanthaceae	phytolaccaceae	picrodendraceae	piperaceae	pittosporaceae	plantaginaceae	platanaceae	poaceae	Polemoniaceae	polygalaceae	polygonaceae	pontederiaceae	posidoniaceae	potamogetonaceae	primulaceae	proteaceae	putranjivaceae	ranunculaceae	Restionaceae	rhamnaceae	rhizophoraceae	ripogonaceae	rosaceae	rubiaceae	ruppiaceae	rutaceae	sabiaceae	salicaceae	santalaceae	sapindaceae	sapotaceae	saururaceae	saxifragaceae	scheuchzeriaceae	schisandraceae	schoepfiaceae	scrophulariaceae	simaroubaceae	smilacaceae	solanaceae	stachyuraceae	staphyleaceae	stemonaceae	strasburgeriaceae	strelitziaceae	styracaceae	symplocaceae	tapisciaceae	theaceae	thymelaeaceae	ticodendraceae	torricelliaceae	trigoniaceae	Triuridaceae	trochodendraceae	typhaceae	ulmaceae	urticaceae	verbenaceae	violaceae	vitaceae	vochysiaceae	winteraceae	xyridaceae	zingiberaceae	zygophyllaceae
27.5	1	0	4	2	3	0	5	0	0	6	4	0	2	1	1	7	10	3	0	0	0	0	0	1	7	28	1	0	1	1	1	1	2	4	2	0	0	0	2	1	0	2	1	0	0	1	2	0	2	0	1	5	0	0	0	0	14	3	0	0	15	0	0	0	0	1	0	1	2	1	1	0	5	0	1	0	0	14	36	0	0	10	3	7	0	0	0	3	5	2	1	0	22	0	5	1	23	1	0	0	1	10	11	1	6	0	1	1	1	2	0	7	0	12	0	1	3	1	0	1	0	0	3	1	0	0	0	0	0	0	0	2	3	0	0	0	0	2	4	1	0	0	1	0	0	4	0	0	0	3	0	13	1	0	35	1	0	2	4	13	1	25	1	1	0	0	2	0	1	3	1	1	0	5	0	0	1	4	3	0	0	0	0	0	0	0	0	8	9	4	0	1	11	0	0	0	1	0
30	0	0	0	1	0	0	4	0	0	0	0	0	2	0	2	3	5	2	0	0	0	0	1	0	3	12	0	0	0	0	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	8	0	1	0	6	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	23	0	0	2	1	8	0	0	1	0	6	2	0	0	28	0	0	0	17	0	0	0	0	4	6	0	1	0	0	0	1	0	0	2	0	6	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	6	0	0	0	0	0	1	1	0	0	0	0	1	0	1	2	0	0	2	1	1	0	0	7	1	0	5	2	5	0	12	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	6	0	3	0	0	0	0	0	1	2	9	1	0	0	6	0	0	0	1	0
32.5	1	0	0	5	1	0	6	0	0	12	2	0	4	0	4	5	1	11	0	1	0	0	0	0	2	43	3	0	1	0	0	0	0	4	0	0	0	0	3	0	0	3	0	1	3	1	3	0	0	0	0	1	0	0	0	0	8	1	4	0	4	0	0	0	2	1	0	0	4	1	4	0	15	0	0	4	1	18	38	1	0	0	0	11	0	0	1	1	2	1	1	0	28	0	2	0	48	0	0	0	0	5	5	1	14	0	0	1	3	1	0	6	0	14	1	2	1	6	0	5	0	0	5	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	10	3	0	0	1	0	0	4	0	5	0	0	0	9	0	0	29	4	0	0	2	19	0	30	2	0	0	0	2	0	0	4	3	0	0	2	0	0	0	5	2	0	5	0	0	0	0	0	1	6	17	0	1	0	7	0	0	0	1	0
35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37.5	0	0	0	2	0	0	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	3	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	3	0	0	1	0	2	0	0	1	0	2	1	6	0	7	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	7	0	0	4	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	4	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	2	0
40	0	0	1	2	0	0	0	0	0	7	0	0	1	0	1	1	2	5	1	0	0	0	0	0	3	2	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	1	0	2	1	1	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	11	17	0	0	0	0	0	0	0	0	2	3	0	2	0	2	1	0	0	13	0	0	0	0	5	0	0	3	0	0	2	0	0	1	4	0	2	0	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	2	0	0	0	0	0	0	5	0	2	0	0	0	5	0	0	11	0	0	4	0	9	0	11	1	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	2	2	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0	0
42.5	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	0	0	3	1	0	0	4	0	0	9	3	0	2	0	1	0	9	5	1	1	1	0	1	0	1	11	0	0	0	0	5	0	0	1	0	0	0	0	3	0	1	0	1	0	7	1	4	0	0	0	0	2	0	0	0	0	11	0	1	0	6	0	0	0	0	0	0	0	4	0	0	0	3	0	0	5	0	19	26	0	0	1	0	5	0	0	0	2	2	0	11	0	20	0	0	0	32	0	0	0	1	3	9	1	4	0	0	2	19	0	0	14	2	4	0	7	2	2	0	1	0	1	4	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	13	2	0	1	0	0	0	1	0	10	0	0	0	12	0	0	9	1	0	6	8	18	0	21	2	1	1	0	1	1	0	1	2	1	0	0	0	0	0	1	3	2	8	2	1	1	0	0	0	1	6	0	0	0	11	0	0	0	0	0
47.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	5	3	0	0	0	0	2	0	0	0	1	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	6	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
