Families	N_species
Mozomuridae	0
Mukupirnidae	0
Muridae	843
Mustelidae	87
Mylagaulidae	0
Mylodontidae	20
Myocastoridae	1
Myohyracidae	0
Myophiomyidae	0
Myrmecophagidae	3
Mystacinidae	2
Mystacodontidae	0
Natalidae	11
Necromantidae	0
Nementchamyidae	0
Neoepiblemidae	0
Neoplagiaulacidae	0
Nesophontidae	0
Nimravidae	0
Noctilionidae	2
Nonanomaluridae	0
Notharctidae	0
Nothrotheriidae	3
Notonychopidae	0
Notopithecidae	0
Notostylopidae	0
Numbigilgidae	0
Numidotheriidae	0
Nycteridae	16
Nycterididae	0
Nyctitheriidae	0
Ochotonidae	32
Octodontidae	14
Odobenidae	3
Odobenocetopsidae	0
Oldfieldthomasiidae	0
Oligopithecidae	0
Oligoryctidae	0
Omomyidae	0
Onychonycteridae	0
Ornithorhynchidae	1
Oromerycidae	0
Orycteropodidae	2
Otariidae	18
Oxyaenidae	0
Pachyarmatheriidae	2
Pachynolophidae	0
Pakicetidae	0
Palaechthonidae	0
Palaeochiropterygidae	0
Palaeogalidae	0
Palaeomastodontidae	0
Palaeomerycidae	0
Palaeopeltidae	0
Palaeopropithecidae	2
Palaeoryctidae	0
Palaeothentidae	0
Palaeotheriidae	0
Paleoparadoxiidae	0
Palorchestidae	0
Pampatheriidae	11
Panochthidae	8
Pantolambdidae	0
Pantolambdodontidae	0
Pantolestidae	0
Pappotheriidae	0
Paraceratheriidae	0
Paramyidae	0
Parapithecidae	0
Parapternodontidae	0
Paromomyidae	0
Paroxyclaenidae	0
Pastoralodontidae	0
Patriocetidae	0
Patriomanidae	0
Paulchoffatiidae	0
Paurodontidae	0
Pedetidae	2
Pediomyidae	0
Peltephilidae	0
Pentacodontidae	0
Peradectidae	0
Peramelidae	22
Peramuridae	0
Percrocutidae	0
Periptychidae	0
Perutheriidae	0
Petauridae	12
Petromuridae	1
Phalangeridae	30
Phascolarctidae	3
Phenacodontidae	0
Philisidae	0
Phiomyidae	0
Phocidae	22
Phocoenidae	7
Phosphatheriidae	0
Phyllostomidae	219
Physeteridae	1
Pichipilidae	0
Picopsidae	0
Picrodontidae	0
Picromomyidae	0
Pilkipildridae	0
Pinheirodontidae	0
Pipestoneomyidae	0
Pitheciidae	60
Plagiaulacidae	0
Plagiomenidae	0
Platanistidae	1
Plesiadapidae	0
Plesiosoricidae	0
Pleuraspidotheriidae	0
Pliohyracidae	0
Pliopithecidae	0
Polydolopidae	0
Pontoporiidae	1
Potamogalidae	3
Potoroidae	15
Praetragulidae	0
Prepidolopidae	0
Prionogalidae	0
Proborhyaenidae	0
Procaviidae	6
Proconsulidae	0
Procyonidae	14
Prodinoceratidae	0
Propalaehoplophoridae	0
Propliopithecidae	0
Prorastomidae	0
Proscalopidae	0
Proteopithecidae	0
Proterotheriidae	1
Protoceratidae	0
Protocetidae	0
Protodidelphidae	0
Protolipternidae	0
Protoptychidae	0
Protosirenidae	0
Protypotheriidae	0
Pseudictopidae	0
Pseudocheiridae	20
